id,title,description,link,image_link,additional_image_link,price,sale_price,availability,brand,condition,product_type,google_product_category,gtin,mpn,item_group_id,color,size,age_group,gender,material,pattern,shipping_weight
"186268","Mechanical Classical Ballerina Girl Dancer the Piano Music Box(White)","1. Fine workmanship and beautiful appearance. 2. High-quality music, movement, sound quality is good. 3. Classical piano music box also can be special...","https://luxtronics.in/product/home-garden-mechanical-classical-ballerina-girl-dancer-186268","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-5547.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-5547_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-5547_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-5547_3.jpg","1073.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","S-CA-5547","186268","","","adult","unisex","","","0.688"
"186276","Embellish Multi-functional Portable Waterproof Large Capacity Nylon","Features 1. 100% brand new and high quality multi-functional storage bag 2. Comes with strap for easy carrying 3. Suit for putting your clothes,shoes or...","https://luxtronics.in/product/home-garden-embellish-multi-functional-portable-waterproof-186276","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-6589D.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-6589D_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-6589D_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/S-CA-6589D_3.jpg","360.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","S-CA-6589","186276","Dark Blue","","adult","unisex","","",""
"181747","Children Enlightenment Tripod Toys Baby Early Learning Multifunctional","1. Material: plastic 2. Applicable objects: infants and young children (0-2 years old) 3. Lovely shape, 5 sides can be played, let the baby love to...","https://luxtronics.in/product/security-children-enlightenment-tripod-toys-baby-181747","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0604723401A.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD06047234_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD06047234_B2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD06047234_B3.jpg","2072.00 INR","","in stock","Luxtronics","new","Security","Cameras & Optics > Cameras","","TBD06047234","181747","Blue And White","","adult","unisex","","",""
"186039","10pcs PVC + Stainless Steel Thick Plum Shape Seamless Adhesive Hook","1. Strong load-bearing strength Waterproof and moisture-proof, it will not fall off after long-term watering, and can withstand about 10kg weight. 2....","https://luxtronics.in/product/home-garden-10pcs-pvc-stainless-steel-thick-186039","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9816.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9816_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9816_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9816_3.jpg","220.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9816","186039","","","adult","unisex","","","0.068"
"181759","Skin Feel Calf Texture Card Slots Leather Phone Case, For Tecno Spark","1. Made of quality PU leather and TPU material, it may work for a long time. 2. It adequately protects devices from the normal scratches, dirt, tear and...","https://luxtronics.in/product/security-skin-feel-calf-texture-card-181759","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA004685307A-2.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA004685307A_1-1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA004685307A_2-1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/EDA004685307A_3-1.jpg","1192.00 INR","","in stock","Luxtronics","new","Security","Electronics > Communications > Telephony > Mobile Phones","","EDA0046853-5","181759","Pink","","adult","unisex","","",""
"186046","10pcs PVC + Stainless Steel Thin Plum Shape Seamless Adhesive Hook","1. Strong load-bearing strength Waterproof and moisture-proof, it will not fall off after long-term watering, and can withstand about 10kg weight. 2....","https://luxtronics.in/product/home-garden-10pcs-pvc-stainless-steel-thin-186046","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9817.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9817_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9817_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9817_3.jpg","180.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9817","186046","","","adult","unisex","","","0.068"
"186054","5pcs Wall-mounted Mop Storage Hooks No-stick Stick Kitchen Bathroom","1. Material: PP 2. Suitable: all the house 3. The product made of PP, eco-friendly and waterproof, it is placed in the room, making the house life tools...","https://luxtronics.in/product/home-garden-5pcs-wall-mounted-mop-storage-186054","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9818F.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9818F_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9818F_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9818F_3.jpg","203.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Electronics Accessories","","HC9818","186054","Random Color","","adult","unisex","","",""
"186066","10 PCS Double-Stitched Strength Reusable Fruit Sandwich Pouch Mesh","1. Breathable mesh design instead of sweating inside the store's plastic bags. Washable and reusable for grocery and storage. 2. Made of strong,... Explore","https://luxtronics.in/product/home-garden-10-double-stitched-strength-reusable-186066","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9842.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9842_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9842_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9842_3.jpg","528.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9842","186066","","","adult","unisex","","","0.253"
"186076","10 PCS Double-Stitched Strength Reusable Fruit Sandwich Pouch Mesh","1. Breathable mesh design instead of sweating inside the store's plastic bags. Washable and reusable for grocery and storage. 2. Made of strong,... Explore","https://luxtronics.in/product/home-garden-10-double-stitched-strength-reusable-186076","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9844.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9844_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9844_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9844_3.jpg","958.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9844","186076","","","adult","unisex","","","0.249"
"186084","Pintar Facil Paint Runner Multifunction Roller Paint Brush Set","1. This product comes with extension poles/rods which allow you the freedom and flexibility to extend for those hard to reach areas such as stairs... Explore","https://luxtronics.in/product/home-garden-pintar-facil-paint-runner-multifunction-186084","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9904.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9904_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9904_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9904_3.jpg","613.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9904","186084","","","adult","unisex","","","0.575"
"186093","Brass Creative Wall Hanging Key Receiving Hanging Hook, Size: 4.5x1.5cm","Product parameters Name: brass hook Material: brass Process: manual Size: 20 x45mm / 15 x45mm / 10 x30mm Product features 1. Towel hanging in the... Explore","https://luxtronics.in/product/home-garden-brass-creative-wall-hanging-key-186093","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9925.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9925_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9925_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9925_3.jpg","828.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9925","186093","","","adult","unisex","","","0.08"
"186101","Ballet Girl Rotating Dancing Music Box Creative Birthday Gift, Music:","1. Material: resin 2. Movement: 18-tone Japanese snakoy movement 3. How to use: turn the clockwork clockwise 4. Lighting power supply: 3 x button... Explore","https://luxtronics.in/product/home-garden-ballet-girl-rotating-dancing-music-186101","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HDR0227.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HDR0227_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HDR0227_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HDR0227_3.jpg","7240.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HDR0227","186101","","","adult","unisex","","","0.75"
"186110","Constellation Luminous Resin Music Box Creative Birthday Gift (Taurus)","1. Material: resin 2. Movement: 18-tone Japanese snakoy movement 3. How to use: turn the clockwork clockwise 4. Lighting power suppl: 3 x button batteries...","https://luxtronics.in/product/home-garden-constellation-luminous-resin-music-creative-186110","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HDR0230J.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HDR0230J_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HDR0230J_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HDR0230J_3.jpg","9100.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HDR0230","186110","","","adult","unisex","","",""
"186130","3D Word Engraving Crystal Ball Music Box Electronic Swivel Musical","1. The base is made of wood material 2. Round crystal shape design, elegant and beautiful look 3. The most suitable for Christmas or birthday gift to send...","https://luxtronics.in/product/home-garden-3d-word-engraving-crystal-ball-186130","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/LED7421F.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/LED7421F_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/LED7421F_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/LED7421F_3.jpg","978.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","LED7421","186130","","","adult","unisex","","",""
"186141","Hard Travel Carrying Case Storage Bag for JBL Flip 1 / 2 / 3 / 4","1. Made of premium EVA material, protect your speaker out of scratches. 2. Shockproof padding on all sides for Keeping your speaker and accessories...","https://luxtronics.in/product/home-garden-hard-travel-carrying-case-storage-186141","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/MS2456B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/MS2456B_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/MS2456B_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/MS2456B_3.jpg","1008.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Electronics Accessories","","MS2456","186141","","","adult","unisex","","",""
"186149","4 PCS Adjustable Bedspread Tablecloth Curtain Sofa Cover Holder Tent","1. Anti-skid bed sheet is fastened and durable. 2. Simple button design, very convenient to use. 3. Material: PP+ nylon + stainless steel. 4. Features:...","https://luxtronics.in/product/home-garden-adjustable-bedspread-tablecloth-curtain-sofa-186149","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG0620B.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG0620B_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG0620B_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/OG0620B_3.jpg","628.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Electronics Accessories","","OG0620","186149","Black","","adult","unisex","","",""
"181655","TC57 7Pin Fast Charge Transmission Data Cable, Silver","1. 7-pin rotary magnetic adapter, plug and play, strong magnetic attraction 2. 540 degree rotation, 360 degree magnetic head + 180 degree elbow 3. Strong...","https://luxtronics.in/product/security-tc57-7pin-fast-charge-transmission-181655","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0602672802-2.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0602672802_B1-1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0602672802_B2-1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0602672802_B3-1.jpg","312.00 INR","","in stock","Luxtronics","new","Security","Electronics > Electronics Accessories","","TBD06026728-1","181655","","","adult","unisex","","",""
"185976","Removable Grid Compartment Plastic Box Organizerfor Jewelry Earring","1. Material: PP/PS 2. Perfect for storing earrings, rings, beads and other mini goods.It can also store fishing hook, fish lure bait crafts, nails, nuts...","https://luxtronics.in/product/home-garden-removable-grid-compartment-plastic-organizerfor-185976","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9018.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9018_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9018_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9018_3.jpg","345.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9018","185976","","","adult","unisex","","","0.263"
"185985","Paste Type Remote Control Receive Hook Multi-functional Wall Hooks","About the product 1.Main Material: ABS 2.Size and Color: As shown in the pictures 3.Load: 0.5kg 4.Applicable scene: Living room, Kitchen, Bedroom,... Explore","https://luxtronics.in/product/home-garden-paste-type-remote-control-receive-185985","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9320.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9320_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9320_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9320_3.jpg","143.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9320","185985","","","adult","unisex","","","0.033"
"181672","Pivot Push Card Magnetic Decompression Toys EDC Fidget Spinner, Black","1. A variety of gameplay, delicate and resistant 2. The sound is crisp and decompressing, and the mechanical sense is strong 3. Material: aluminum alloy...","https://luxtronics.in/product/security-pivot-push-card-magnetic-decompression-181672","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603231201C.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603231201C_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603231201C_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603231201_B1.jpg","3364.00 INR","","in stock","Luxtronics","new","Security","Electronics > Consumer Electronics","","TBD06032312-1","181672","Black","","adult","unisex","","",""
"181686","Black Chain Gyro Fingertip Gyro EDC Metal Toy Gear Sprocket Flywheel","1. Steady and silent rotation, multiple ways to play, strong sense of mechanics 2. Material: stainless steel 3. Gear and finger cover material: stainless...","https://luxtronics.in/product/security-black-chain-gyro-fingertip-181686","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603231902.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603231902_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603231902_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603231902_B2.jpg","3516.00 INR","","in stock","Luxtronics","new","Security","Electronics > Consumer Electronics","","TBD06032319-1","181686","","","adult","unisex","","",""
"185992","Original Xiaomi Youpin LEMO Desktop Storage Box(White)","1. Material: ABS plastics 2. Pen barrel size: 102*90*90mm, note box size: 27*90*90mm, small clutter box size: 24*90*90mm 3. Free combination can be...","https://luxtronics.in/product/home-garden-original-xiaomi-youpin-lemo-desktop-185992","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9375.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9375_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9375_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9375_3.jpg","2230.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9375","185992","","","adult","unisex","","","0.109"
"181701","Nuclear Reactor Fingertip Gyroscope EDC Stress Relief Toys, Nuclear","1. Surface sand blasting and anodic oxidation process 2. Material: aviation aluminum 3. Bearing model: stainless steel 6804 4. Bearing: stainless steel 14...","https://luxtronics.in/product/security-nuclear-reactor-fingertip-gyroscope-edc-181701","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603235501B-1.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603235501_B1-1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603235501_B2-1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603235501_B3-1.jpg","3484.00 INR","","in stock","Luxtronics","new","Security","Electronics > Consumer Electronics","","TBD06032355-1","181701","Black","","adult","unisex","","",""
"185999","Adjustable Washing Machine Refrigerator Base Stand Bracket Fridge","Features: 1. Placed on the bottom of the washing machine and refrigerator, it can be moved, and it is also waterproof and moisture-proof. 2. Lift the...","https://luxtronics.in/product/home-garden-adjustable-washing-machine-refrigerator-base-185999","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9381.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9381_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9381_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9381_3.jpg","1085.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9381","185999","","","adult","unisex","","","1.378"
"181716","Metal Fingertip Gyroscopic Fox EDC Stress Relief Toy, Fox(Colorful)","1. Sandblasting effect, anodized treatment 2. Imported stainless steel R188 type bearing, good wear resistance, long idle time 3. Precision polished, no...","https://luxtronics.in/product/security-metal-fingertip-gyroscopic-fox-edc-181716","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603242301A.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603242301_B1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603242301_B2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/TBD0603242301_B3.jpg","4236.00 INR","","in stock","Luxtronics","new","Security","Electronics > Consumer Electronics","","TBD06032423","181716","","","adult","unisex","","",""
"186004","5 in 1 Triangle Iron Movers Home Trolly Heavy Furniture Moving to Save","1. Material Specification: 4 triangular discs with Q195 plate 1.0MM thick wheel ABS, anti-skid cushion and handle with PVC, pry bar with A3 steel... Explore","https://luxtronics.in/product/home-garden-in-triangle-iron-movers-home-186004","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9382L.jpg","https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9382L_1.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9382L_2.jpg,https://luxtronics.luxtronics.in/wp-content/uploads/2026/06/HC9382L_3.jpg","2228.00 INR","","in stock","Luxtronics","new","Home &amp; Garden","Electronics > Consumer Electronics","","HC9382","186004","Blue","","adult","unisex","","",""
